ra,dec,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
30.7839811967124,-3.25443161052824,6,23.4984,22.66724,22.23803,22.0285,21.40144,0.6975892,0.1144294,0.1449262,0.1837534,0.3290554,23.86702,22.25207,21.77886,21.6765,21.24492,1.372712,0.128562,0.14787,0.2076141,0.4543497
30.7848030531382,-3.28666867771698,6,25.72135,21.39489,20.04823,19.41973,19.04909,0.700805,0.04340655,0.02826423,0.02253653,0.04552077,25.94079,21.36017,20.02205,19.41272,19.02084,0.6064728,0.04224268,0.02341407,0.02107631,0.04449219
30.7840647525269,-3.30762411915405,6,23.62397,25.8789,24.40231,24.50838,20.95048,0.7659549,0.4078002,0.6794559,0.7565139,0.3898545,23.84385,25.87663,24.49828,24.47577,21.08248,0.8894007,0.4134181,0.709631,0.7713342,0.2420237
30.7835750028086,-3.24986787051815,3,22.52613,24.16917,22.92698,21.95515,21.24807,0.3275118,0.3702082,0.2652978,0.1744328,0.2792061,22.44348,23.95107,22.66816,21.74361,21.16226,0.3794141,0.4128324,0.2613401,0.1779205,0.3367153
30.7218988325324,-3.3294845391155,3,23.52986,23.0474,22.01493,21.53011,21.16377,0.7191887,0.1596777,0.115056,0.1147722,0.2504126,23.61497,22.25212,21.31867,20.89544,20.4444,1.230694,0.1430664,0.10088,0.1069151,0.2404544
30.7218558500183,-3.34844307963467,6,23.53732,23.3216,22.93794,22.64523,21.72016,0.7221735,0.2004717,0.2525617,0.2999245,0.8357042,23.60768,23.36988,22.94557,22.66921,21.73266,0.7680728,0.2153729,0.2601664,0.3116873,0.3942904
30.7221626012111,-3.25618169103983,3,21.80558,20.84231,20.47662,20.36402,20.37011,0.1799248,0.03159409,0.0364929,0.04429719,0.1189926,21.85609,20.53624,20.20227,20.13761,20.08672,0.2801441,0.02650443,0.03153366,0.04386784,0.136741
30.7834880611487,-3.31736797263345,6,23.45491,20.6036,19.10473,17.71931,16.95576,0.6798816,0.02822526,0.02080489,0.01291016,0.01997295,23.57608,20.59909,19.11143,17.72056,16.95959,0.7440829,0.02406294,0.01215371,0.007060543,0.01068555
30.6730025971035,-3.28006824801733,3,26.05519,23.68878,22.56028,21.93568,21.73613,0.5502236,0.2705035,0.1928218,0.1681678,0.5387151,26.7399,22.91728,21.72205,21.23901,20.77811,0.5835528,0.2870491,0.1708459,0.1698555,0.3879785
30.6726449316301,-3.2567935384118,3,22.60008,23.02189,23.02694,22.74234,23.35221,0.3486328,0.1553838,0.2941196,0.3392303,0.5707053,22.26217,22.57965,22.40708,22.53742,22.72707,0.4334073,0.1886721,0.2869159,0.481356,1.133188
30.6723788110783,-3.26670449453573,6,24.83192,23.23691,22.03541,21.2382,20.87669,1.081217,0.1865557,0.1230161,0.09178022,0.2097917,24.97893,23.16467,21.83713,21.12252,20.81585,1.208675,0.214837,0.120872,0.096365,0.2445378
30.6719488366715,-3.27582909142264,3,24.57964,23.00661,22.13123,22.95977,21.50267,1.108922,0.1550221,0.1332789,0.3992121,0.3459462,25.00458,22.95266,22.07981,22.90235,21.42419,1.116152,0.1641751,0.137427,0.40926,0.3567069
30.671792506067,-3.30312253098622,3,22.53748,22.89364,22.46624,22.11417,22.54507,0.3297375,0.1419692,0.1745352,0.1935436,0.5967634,22.68506,22.64178,22.24416,21.95677,22.34052,0.4568637,0.1445823,0.1764468,0.2073728,0.7194201
30.784911310173,-3.16199401035114,6,26.02332,23.38835,23.36402,21.99492,22.12974,0.6937047,0.3373821,0.9424691,0.1790554,0.7780019,26.06872,23.42154,23.39604,22.04669,22.19699,0.6724663,0.3514388,0.4597558,0.1939876,0.8191019
30.7844148458403,-3.18525652447822,6,23.94157,24.02222,24.21055,21.89388,21.52479,1.140644,0.553093,0.763563,0.4996234,0.5269679,24.11057,24.23431,24.33841,21.77225,21.53588,1.294249,0.6763932,0.8822734,0.1648184,0.56682
30.7221088902522,-3.22038801333358,6,22.88559,23.16665,22.33812,22.48688,21.78776,0.5260053,0.2856156,0.1876977,0.2732129,0.6363694,22.93552,23.15091,22.25175,22.47566,21.72925,0.585838,0.2972329,0.1922281,0.3066994,0.6587458
